  PID    VSZ COMMAND
    1  23620 init
    2      0 kthreadd
    3      0 ksoftirqd/0
    4      0 migration/0
    5      0 watchdog/0
    6      0 migration/1
    7      0 ksoftirqd/1
    8      0 watchdog/1
    9      0 events/0
   10      0 events/1
   11      0 cpuset
   12      0 khelper
   13      0 netns
   14      0 async/mgr
   15      0 pm
   16      0 xenwatch
   18      0 xenbus
   19      0 sync_supers
   20      0 bdi-default
   21      0 kintegrityd/0
   22      0 kintegrityd/1
   23      0 kblockd/0
   24      0 kblockd/1
   25      0 ata_aux
   26      0 ata_sff/0
   27      0 ata_sff/1
   28      0 khubd
   29      0 kseriod
   30      0 kmmcd
   31      0 khungtaskd
   32      0 kswapd0
   33      0 ksmd
   34      0 aio/0
   35      0 aio/1
   36      0 ecryptfs-kthrea
   37      0 crypto/0
   38      0 crypto/1
   43      0 khvcd
   44      0 kstriped
   45      0 kmpathd/0
   46      0 kmpathd/1
   47      0 kmpath_handlerd
   48      0 ksnapd
   49      0 kondemand/0
   50      0 kondemand/1
   51      0 kconservative/0
   52      0 kconservative/1
  188      0 kjournald
  226  17084 upstart-udev-br
  237  16932 udevd
  411  49308 sshd
  456 136176 rsyslogd
  526  16928 udevd
  528  16928 udevd
  532   6128 getty
  534   6128 getty
  535   6128 getty
  538   6128 getty
  539   6128 getty
  541   6128 getty
  545  18932 atd
  546  21124 cron
  584      0 flush-202:1
  591  15668 haproxy
  596  44776 ha_logd
  599  44776 ha_logd
  627  55592 perl
  628 245064 perl
  635 145516 openhpid
  777  25848 ntpd
  780  75176 remote_syslog
  895  74636 heartbeat
  901  74576 heartbeat
  902  74572 heartbeat
  903  74572 heartbeat
  904  74572 heartbeat
  905  74572 heartbeat
  908  44468 perl
  915  55796 perl
  923  44468 perl
  926  55796 perl
  930  55796 perl
  949  94840 apache2
 1028   6128 getty
 1195  70640 sshd
 1253  70640 sshd
 1254  19512 bash
 1259  37108 su
 1260  19624 bash
 5045  70640 sshd
 5103  70640 sshd
 5104  19480 bash
 5105  37108 su
 5106  19600 bash
 5118  70640 sshd
 5176  70640 sshd
 5177  19480 bash
 5178  70640 sshd
 5236  70640 sshd
 5237  19480 bash
 5238  40676 ssh
 5241  40676 ssh
 6247  94340 apache2
 6248 373788 apache2
 6260 374444 apache2
 6939  70640 sshd
 6997  70640 sshd
 6998  19480 bash
 7000   6876 ps
 9276  70640 sshd
 9334  70640 sshd
 9335  19512 bash
 9423  40676 ssh
11262  70640 sshd
11322  70640 sshd
11323  16064 nc
23859  70640 sshd
23917  73860 sshd
23918  16064 nc
26553  70640 sshd
26611  70640 sshd
26612  19512 bash
26616  40676 ssh
